ProductID,ProductName,UnitPrice
1,Chai,18
2,Chang,19
3,Aniseed Syrup,10
13,Konbu,6
15,Genen Shouyu,15.5
16,Pavlova,17.45
19,Teatime Chocolate Biscuits,9.2
21,Sir Rodney's Scones,10
23,Tunnbröd,9
25,NuNuCa Nuß-Nougat-Creme,14
31,Gorgonzola Telino,12.5
33,Geitost,2.5
34,Sasquatch Ale,14
35,Steeleye Stout,18
36,Inlagd Sill,19
39,Chartreuse verte,18
40,Boston Crab Meat,18.4
41,Jack's New England Clam Chowder,9.65
44,Gula Malacca,19.45
45,Rogede sild,9.5
46,Spegesild,12
47,Zaanse koeken,9.5
48,Chocolade,12.75
50,Valkoinen suklaa,16.25
52,Filo Mix,7
54,Tourtière,7.45
57,Ravioli Angelo,19.5
58,Escargots de Bourgogne,13.25
66,Louisiana Hot Spiced Okra,17
67,Laughing Lumberjack Lager,14
68,Scottish Longbreads,12.5
70,Outback Lager,15
73,Röd Kaviar,15
74,Longlife Tofu,10
75,Rhönbräu Klosterbier,7.75
76,Lakkalikööri,18
77,Original Frankfurter grüne Soße,13
