CompanyName,reqMonth
Island Trading,10
Tortuga Restaurante,10
Wartian Herkku,10
Island Trading,10
Pericles Comidas clásicas,10
Königlich Essen,10
Save-a-lot Markets,10
Königlich Essen,10
Bólido Comidas preparadas,10
Folk och fä HB,10
Furia Bacalhau e Frutos do Mar,10
Split Rail Beer & Ale,10
LILA-Supermercado,10
Bon app',10
Mère Paillarde,10
Wartian Herkku,10
Victuailles en stock,10
Hungry Owl All-Night Grocers,10
Princesa Isabel Vinhos,10
Frankenversand,10
Old World Delicatessen,10
Mère Paillarde,10
Bon app',10
Simons bistro,10
Frankenversand,10
Lehmanns Marktstand,10
White Clover Markets,11
QUICK-Stop,11
Rattlesnake Canyon Grocery,11
Familia Arquibaldo,11
Die Wandernde Kuh,11
Split Rail Beer & Ale,11
La maison d'Asie,11
Ernst Handel,11
Furia Bacalhau e Frutos do Mar,11
Piccolo und mehr,11
Pericles Comidas clásicas,11
Around the Horn,11
Die Wandernde Kuh,11
LILA-Supermercado,11
La maison d'Asie,11
Seven Seas Imports,11
Blondesddsl père et fils,11
QUICK-Stop,11
Bon app',11
Drachenblut Delikatessen,11
Eastern Connection,11
Antonio Moreno Taquería,11
Galería del gastrónomo,11
Vaffeljernet,11
Ernst Handel,11
Split Rail Beer & Ale,12
Chop-suey Chinese,12
La maison d'Asie,12
Queen Cozinha,12
Hungry Owl All-Night Grocers,12
Wolski  Zajazd,12
Hungry Coyote Import Store,12
Mère Paillarde,12
Seven Seas Imports,12
Folk och fä HB,12
Que Delícia,12
Hungry Owl All-Night Grocers,12
LILA-Supermercado,12
Ernst Handel,12
Around the Horn,12
Berglunds snabbköp,12
Split Rail Beer & Ale,12
Familia Arquibaldo,12
Santé Gourmet,12
Seven Seas Imports,12
Bottom-Dollar Markets,12
Ernst Handel,12
Drachenblut Delikatessen,12
Piccolo und mehr,12
Save-a-lot Markets,12
Hungry Coyote Import Store,12
HILARION-Abastos,12
Frankenversand,12
Princesa Isabel Vinhos,12
Save-a-lot Markets,12
Vaffeljernet,12
Vaffeljernet,10
Berglunds snabbköp,10
Hanari Carnes,10
QUICK-Stop,10
Alfreds Futterkiste,10
White Clover Markets,10
QUICK-Stop,10
Wilman Kala,10
White Clover Markets,10
LINO-Delicateses,10
Ernst Handel,10
Morgenstern Gesundkost,10
Save-a-lot Markets,10
Hungry Owl All-Night Grocers,10
Alfreds Futterkiste,10
Folk och fä HB,10
Queen Cozinha,10
HILARION-Abastos,10
Old World Delicatessen,10
Around the Horn,10
The Big Cheese,10
Gourmet Lanchonetes,10
Franchi S.p.A.,10
Save-a-lot Markets,10
Hungry Owl All-Night Grocers,10
Save-a-lot Markets,10
Save-a-lot Markets,10
Bon app',10
Rancho grande,10
Frankenversand,10
Königlich Essen,10
Let's Stop N Shop,10
Que Delícia,10
QUICK-Stop,10
Save-a-lot Markets,10
White Clover Markets,10
Mère Paillarde,10
Familia Arquibaldo,10
Eastern Connection,11
Reggiani Caseifici,11
Queen Cozinha,11
LINO-Delicateses,11
Bon app',11
Chop-suey Chinese,11
Bon app',11
Berglunds snabbköp,11
Gourmet Lanchonetes,11
Let's Stop N Shop,11
Hungry Owl All-Night Grocers,11
Vins et alcools Chevalier,11
Spécialités du monde,11
Vins et alcools Chevalier,11
White Clover Markets,11
Around the Horn,11
Bottom-Dollar Markets,11
Around the Horn,11
Vaffeljernet,11
QUICK-Stop,11
Chop-suey Chinese,11
Piccolo und mehr,11
Save-a-lot Markets,11
Island Trading,11
Wartian Herkku,11
Richter Supermarkt,11
North/South,11
Franchi S.p.A.,11
Magazzini Alimentari Riuniti,11
Bon app',11
Split Rail Beer & Ale,11
Save-a-lot Markets,11
Richter Supermarkt,11
Ana Trujillo Emparedados y helados,11
Maison Dewey,12
Rattlesnake Canyon Grocery,12
Folk och fä HB,12
Folies gourmandes,12
Ernst Handel,12
QUICK-Stop,12
Ottilies Käseladen,12
Suprêmes délices,12
Around the Horn,12
Vaffeljernet,12
Hanari Carnes,12
Ernst Handel,12
Lehmanns Marktstand,12
Ernst Handel,12
Folk och fä HB,12
The Cracker Box,12
Ernst Handel,12
Gourmet Lanchonetes,12
Berglunds snabbköp,12
Morgenstern Gesundkost,12
LILA-Supermercado,12
Wartian Herkku,12
Cactus Comidas para llevar,12
Hanari Carnes,12
Magazzini Alimentari Riuniti,12
GROSELLA-Restaurante,12
Queen Cozinha,12
La maison d'Asie,12
QUICK-Stop,12
Folies gourmandes,12
Gourmet Lanchonetes,12
Frankenversand,12
Wolski  Zajazd,12
Around the Horn,12
Que Delícia,12
Ernst Handel,12
HILARION-Abastos,12
Drachenblut Delikatessen,12
Island Trading,12
Königlich Essen,12
Seven Seas Imports,12
Bólido Comidas preparadas,12
Simons bistro,12
Wellington Importadora,12
Seven Seas Imports,12
The Big Cheese,12
Victuailles en stock,12
Franchi S.p.A.,12
