ProductName,UnitPrice
Uncle Bob's Organic Dried Pears,30
Ikura,31
Gumbär Gummibärchen,31.23
Mascarpone Fabioli,32
Perth Pasties,32.8
Wimmers gute Semmelknödel,33.25
Camembert Pierrot,34
Mozzarella di Giovanni,34.8
Gudbrandsdalsost,36
Gnocchi di nonna Alice,38
Queso Manchego La Pastora,38
Alice Mutton,39
Northwoods Cranberry Sauce,40
Vegie-spread,43.9
Schoggi Schokolade,43.9
Rössle Sauerkraut,45.6
Ipoh Coffee,46
Tarte au sucre,49.3
Manjimup Dried Apples,53
Raclette Courdavault,55
Carnarvon Tigers,62.5
Sir Rodney's Marmalade,81
Mishi Kobe Niku,97
Thüringer Rostbratwurst,123.79
Côte de Blaye,263.5
